ID Degustazione,ID Vino,Data Degustazione,Luogo Degustazione,Valutazione,Degustazione Visiva,Degustazione Olfattiva,Degustazione Gustativa,Degustazione Giudizio Generale,Prezzo,Foto Etichetta,Foto Retro Etichetta
1296,1001,27/10/2024,Casa,4/5,Vista: rosso rubino,"Naso: coinvolgente ed equilibrato tra il floreale carnoso, il frutto rosso e la speziatura","Bocca: fresco e sapido, nota di liquirizia, ottima struttura e persistenza, grande freschezza da acidità marcata","Considerazioni: un vino che voglio bere nelle annate, sia fresche sia con almeno 5 anni di bottiglia",,,
1297,1002,11/03/2024,Casa,4/5,Vista: rosso rubino,"Naso: delicato e coinvolgente, dalla frutta rossa al floreale, dalla spezia alla prugna disidratata.","Bocca: bella freschezza e sapidità, tannino delicato e vellutato, sentori gustativi di spezia e prugna, bella persistenza e struttura, ottima bevibilità",Considerazioni: giovane ma già con un carattere formato e definito,,,
1298,1003,06/09/2023,Le Soufflot de Meirsault - Champagne Society,3/5,Vista: giallo paglierino,"Naso: bello Chardonnay con tipico marcatore di pietra focaia, banana, frutta bianca, crema e pasticceria","Bocca: sapido, minerale, calda alcolico ma non sbilanciato",Considerazioni: più naso che bocca ma un vino molto buono. Rimane la perplessità a bere un fermo così e non un ottimo Champagne 😉,,,
1299,1004,18/03/2024,Master Borgogna - Firenze,4/5,Vista: rosso rubino,"Naso: frutto rosso, sottobosco d’autunno, floreale, elegante ed etereo","Bocca: più sapido che fresco (poco acido, tipico di Santenay), radice di liquirizia, tannino vellutato, buona persistenza","Considerazioni: bel vino, tipico di Santenay, vino di classe superiore",,,
1300,1005,22/08/2024,The Artnoa House - Biarritz,3/5,Vista: giallo paglierino,"Naso: frutta bianca, toni esotici, pietra focaia","Bocca: fresco, sapido, di buona struttura m a non lungo, buona bevibilità","Considerazioni: buon Village, valido in aperitivo ma anche a tavola",,,
1301,1006,07/05/2025,Ciz Cantina e Cucina,"4-4,5/5",Calice: paglierino,"Prima sensazione olfattiva: pietra focaia e frutta bianca. Seconda sensazione olfattiva: conferma la prima ma cresce in potenza, si apre anche ai fiori, dritto. Evoluzione olfattiva nel calice: sempre più un mélange, sempre più piacevole","Sensazione in bocca: fresco, sapido, dritto, minerale, grande struttura e persistenza",Emozione: coinvolgente e intrigante,,,
1302,1007,13/02/2023,Via dei Guinceri,3/5,"Alla vista delicato ma di struttura, elegante. ", Al naso frutto rosso intenso ma delicato ed elegante,In bocca si conferma di struttura ma vellutato e raffinato,primo Borgogna consapevole. Prima impressione è che mi piace. ,,,
1303,1008,31/08/2024,Casa,4/5,Vista: rosso rubino,"Naso: bella estrazione di frutto rosso (versato con aeratore Coravin indubbiamente meglio), spezia, fresco: veramente coinvolgente","Bocca: fresco e sapido, tannino morbido con bella tattilità, rotondo, bella ed equilibrata spalla acida, ottima persistenza, gustativamente si ritrova la frutta e La Spezia","Considerazioni: un ottimo Borgogna, grande interpretazione del territorio",,,
1304,1008,02/03/2025, Casa,"4-4,5/5",Vista: rubino scarico,Naso: frutta rossa fresca e spezia,"Bocca: fresco e leggermente sapido, gusto di frutta rossa, ottima struttura e persistenza",Considerazioni: ottimo Borgogna,,,
1305,1009,12/04/2025,Les Avizes - Avize,4/5,Vista: rubino profondo,"Naso: frutta rossa scura, spezia, leggerissimo sottobosco e fungo porcino","Bocca: fresco e sapido, tannino ottimamente equilibrato, gusto di frutta rossa e spezia, ottima struttura e persistenza",Giudizio Generale: ottimo Village gevray-chambertin,,,
1306,1010,04/03/2024,Master Borgogna - Firenze,2/5,Vista: giallo paglierino splendente,"Naso: frutta bianca, floreale, minerale, molto tenue, punta di agrume","Bocca: fresco e sapido, buona persistenza, leggera spezziatura quasi piccante, mineralita","Considerazioni: acidità tipica aligote, tagliente ma altra cosa rispetto allo Chardonnay",,,
1307,1011,26/02/2024,Master Borgogna - Firenze,"4,5/5",Vista: rosso porpora,"Naso: bella complessità olfattiva, frutto rosso scuro, bouaserie delicata, spezia fantastica (deve prendere aria, aprire 2/3 ore prima e areare bene nel calice)","Bocca: grande complessità, fresco e ben sapido, struttura tannica morbida e setosa, caldo alcolico, buona persistenza, felce, corteccia, fungo","Considerazioni: bottiglia leggendaria, fantastica dopo 10 anni",,,
1308,1012,04/10/2024,Casa,"3,5/5",Vista: rosso rubino,"Naso: bellissima frutta rossa, fragrante e selvaggia, poi frutta rossa scura, principalmente prugna, spezia","Bocca: meno coinvolgente rispetto al naso, leggerissima bollicina, leggermente slavato e leggero di struttura ma buona lunghezza, bella frutta scura, prugna in retronasale",Considerazioni: bottiglia un po’ sgangherata ma divertente,,,
1309,1013,04/09/2024,Argentiera,4/5,Vista: giallo paglierino acceso,"Naso: bouquet olfattivo di grande livello, dal frutto bianco vario inclusa banana e ananas, al giallo con il melone protagonista, fiori di macchia mediterranea, erbe aromatiche di macchia mediterranea su tutt’e rosmarino e la salvia, frutta secca soprattutto la nocciola, leggera buaserie.","Bocca: fresco, sapido, nota minerale, gusti di frutta e erbe aromatiche, minerale, di molto buona struttura, buona persistenza ma lo aspettavo più lungo","Considerazioni: mi ha sorpreso, un ottimo vino che non dubito migliorerà con il passare delle vendemmie dato che l’impianto delle viti è ancora molto giovane (10 anni). È vino che può sfidare il tempo e fargli assorbire bene il legno che ancora si percepisce lo renderà assai migliore.",,,
1310,1014,14/04/2022,Argentiera,3/5,,,,,,,
1311,1015,01/05/2025,Casa,"3,5-4/5",Vista: rosso rubino profondo,"Naso: frutta rossa, vegetale di peperone verde, leggera speziatura","Bocca: fresco, tannino rotondo con solo piccola ruvidità ma è ancora giovane, molto buona la struttura e la persistenza",Giudizio Generale: ottimo per una ricca tavola toscana,,,
1312,1016,04/09/2024,Argentiera,3/5,Vista: rosso rubino,"Naso: frutta rossa scura, note erbacee, leggera spezia","Bocca: fresco, tannino rotondo e non marcante per un vino ancora giovane, struttura e persistenza sufficienti","Considerazioni: da tavola toscana, di buona fattura ma difficile da ricordare",,,
1313,1017,04/09/2024,Argentiera,"3,5-4/5",Vista: rosso rubino profondo,"Naso: bouquet aromatico complesso di frutta rossa e scura variegata, note gustative erbacee e balsamiche di qualità con ben presente la macchia mediterranea, leggera speziatura","Bocca: fresco, tannino non marcante ma neppure vellutato e rotondo, più che buona struttura e persistenza","Considerazioni: più che buono ma non wow, è Argentiera, è Bolgheri superiore ma non il mio millesimo di questo produttore",,,
1314,1018,14/04/2022,Argentiera,"4,5/5",,,,,,,
1315,1018,23/02/2025,Casa,"4,5/5",Vista: rosso porpora profondo,"Naso: frutta rossa scura matura, spezia","Bocca: fresco, note fruttate, tannino morbido, grande struttura e persistenza","Considerazioni: ottimo, vino di grande struttura, un ottimo Bolgheri",,,
1316,1019,14/04/2022,Argentiera,5/5,,,,,,,
1317,1020,04/09/2024,Argentiera,"4-4,5/5",Vista: rosso rubino,"Naso: bouquet aromatico complesso e coinvolgente di frutta rossa e scura, erbaceo e balsamico con bella macchia mediterranea","Bocca: fresco, bella spalla acida, ottimo corpo e persistenza","Considerazioni: ottimo Cabernet Franc, indubbiamente espressivo ma non vale quello che costa, ha comunque le caratteristiche per poter crescere con il passare delle vendemmie, purché ci credano e ci investano",,,
1318,1021,15/04/2024,ONAV - San Miniato,2/5,Vista: rubino intenso,"Naso: vegetale, peperone erba tagliata, spezia, frutto maturo, leggera boiserie",Bocca: meglio bocca che naso,Considerazioni: taglio bordolese cab sauv e franc che non incontra il mio gusto,,,
1319,1022,15/04/2022,Chiappini,"3,5-4/5",,,,,,,
1320,1022,09/04/2023,Villa Palla,"3,5-4/5",,,,,,,
1321,1023,12/11/2023,Casa Mamma,4/5,Vista: rosso rubino,"Naso: ribes rosso, fragola, ciliegia matura, spezia di pepe e chiodo di garofano","Bocca: tannino morbido e setoso, sapido e fresco. Ottimamente lungo e persistente","Considerazioni: ottima bevibilità, ottima bottiglia, accompagna la tavola toscana di carni sontuose e saporite.",,,
1322,1023,26/12/2024,mamma,4/5,Vista: rosso rubino caldo e profondo,"Naso: frutta rossa matura, note leggermente erbacee, speziato, note leggere da affinamento in legno","Bocca: fresco, tannino parte un po’ scorbutico ma poi si ammorbidisce e va verso il velluto, ottima la struttura e persistenza, note aromatiche di frutta rossa","Considerazioni: buon vino ma non mi esalta, ottima da tavola con carni rosse e selvaggina",,,
1323,1024,15/04/2022,Osteria Guado al Tasso,5/5,,,,,,,
1324,1025,08/06/2023,A Bimbotto,"4-4,5/5","Colore rosso rubino intenso, quasi granato","Olfatto: frutta rossa scura, prugna, confettura mirtilli,spezia, cuoio, radice di liquirizia, aromi balsamici come menta.","Palato: teso ma avvolgente, tannino morbido,delicato e raffinato, di grande struttura ma bevibile per la buona freschezza data da sentori balsamici, richiama la spezia e la frutta e i sentori balsamici , scalda ma con piacere il retro bocca","Giudizio Generale: complesso, piacevole, elegante",,,
1325,1026,05/08/2022,Osteria Guado al Tasso,4/5,,,,,,,
1326,1027,21/04/2024,A Bimbotto,4/5,Vista: rosso rubino,"Naso: bell’equilibrio di profumi dalla frutta rossa scura alla spezia, al leggero erbaceo","Bocca: bella struttura, bevibilità e profondità, fresco e sapido","Considerazioni: ottimo vino, gastronomico di qualità con antipasti e piatti di struttura toscani.",,,
1327,1028,14/04/2022,Michele Satta,4/5,,,,,,,
1328,1028,22/09/2023,Casa,4/5,Vista: rosso rubino profondo,"Naso: grande complessità e struttura, frutta rossa scura (mora, amarena, mirtillo), confettura more e mirtillo, spezia, note di erbe e macchia mediterranea di boise balsamica.","Bocca: fresco e maturo, di grande struttura e armonioso, complessità aromatica, trama tannica setosa, chiude lungo con note balsamiche","Considerazioni: ottimo bolgheri, di buona beva ma max 1/2 bicchieri",,,
1329,1028,13/05/2024,Casa,4/5,Vista: rosso rubino,"Naso: frutta rossa scura, mora e ciliegia, macchia mediterranea e balsamicità, leggera nota evolutiva di tabacco e cioccolato fondente","Bocca: fresco e sapido, tannino quasi vellutato e morbido, aromi di frutta rosso scura maturi (prugna)","Considerazioni: molto buono, gastronomico",,,
1330,1029,19/08/2022,Rist. Granaio Bolgheri,3/5,,,,,,,
1331,1030,14/04/2022,Michele Satta,3/5,,,,,,,
1332,1031,15/04/2022,casa,3/5,,,,,,,
1333,1031,16/01/2023,casa,3/5,  ,"bel naso con frutti rossi, pepe e tabacco e altrettanta",ottima bocca con un tannino morbido e materia equilibrata. Abbinato a salumi e hamburger alla piastra sul quale ha dato tutto se stesso,"Secondo vino ma ottimo vino,",,,
1334,1032,25/09/2024,Inocenti Evasioni - Winetip,"4-4,5/5",Vista: rosso porpora (fondo),Naso: frutta matura,"Bocca: tannino morbido, buona acidità, ottima struttura e persistenza",Considerazioni : grande bottiglia con ottima evoluzione (anche se mi è toccato il fondo),,,
1335,1033,14/04/2022,Osteria Magona,"4-4,5/5",,,,,,,
1336,1033,07/02/2023,Top Missori,"4-4,5/5",,,,,,,
1337,1034,05/08/2022,Osteria Ancenstrale,"2,5/5",,,,,,,
1338,1035,18/02/2025,Winetip,3/5,Vista: paglierino,Naso: Nel bouquet si identificano note di frutta gialla estiva con pesca ed albicocca in grande evidenza.,Bocca: In bocca l’ingresso è potente e dimostra una bella struttura sostenuta da una fresca acidità ed una convincente sapidità,Considerazioni: buono ma non mi ha coinvolto,,,
1339,1036,25/09/2024,Innocenti Evasioni - Winetip,3/5,Vista: rosso porpora,,,"Considerazioni: sarà la serata di tanti assaggi e non ideale a degustare, sarà la bottiglia non ottimale ma non un grande effetto",,,
1340,1037,13/04/2022,Osteria San Guido,4/5,,,,,,,
1341,1038,06/03/2023,WineTip,"3,5/4",,"Olfatto: frutto rosso cioccolato, caffè tostato, buccia d’arancia, spezia, p","* Palato: meraviglioso, elegante,","* Percezione generale: dopo un po’ al palato si perde, mi rimane alcool e un po’ di tannino. Al primo assaggio grande",,,
1342,1039,06/03/2023,WineTip,"3,5-4/5",Colore: riflessi portieri e violacei,"* Olfatto: frutto rosso, nota di menta, pinolo, mandorle tostate","* Palato: fresco, equilibrata, tannino ben presente","* Percezione generale: molto fresco e balsamico, ottima bevuta",,,
1343,1040,06/03/2023,WineTip,"4-4,5/5",Colore: rosso porpora con riflessi violacei,"* Olfatto: frutto rosso, frutto nero, spezia, mentuccia, sottobosco, curry","* Palato: più strutturato,",,,,
1344,1041,06/03/2023, WineTip,"4-4,5/5",Colore: rosso intenso,"* Olfatto: sottobosco, fungo, spezia, frutto rosso, balsamico","* Palato: vellutato, tannino morbido, fresco ed erbaceo, con richiamo di liquirizia",* Percezione generale: veramente gustoso,,,
1345,1042,06/03/2023,WineTip,"4-4,5/5",Colore: rosso porpora intendo,"* Olfatto: frutto rosso, sottobosco, cioccolato fondente, balsamico e erbaceo del Cabernet franc, spezia","* Palato: potente, elegante, vellutato, fresco, non opulento, malo di noce, liquirizia, conferma il naso, tannino presente ma non eccessivo","* Percezione generale: veramente di facile beva, bella esperienza",,,
1346,1043,06/03/2023,WineTip,2/5,,"Olfatto: spezia, sottobosco, frutto rosso maturo","* Palato: fresco, esile, alcool","* Giudizio generale: scarico, non da aprire",,,
1347,1044,23/08/2024,La Bande a Roro - Bordeaux,"3,5/5",Vista: rosso rubino scuro,"Naso: dalla frutta rossa scura, al cioccolato, cuoio, tabacco","Bocca: fresco, buona struttura ma non grande spalla su reteopalato, buona beva","Considerazioni: valido anche in aperitivo, ben supporta salumi e affettati, ma anche formaggi da freschi a stagionati",,,
1348,1045,13/03/2023,Union Gens de Metier - Milano,"2,5-3/5",,al naso frutto e spezia,al palato tannino ancora un po’ ruvido e buona freschezza,botti piccole non nuove x 18 mesi,,,
1349,1046,13/03/2023,Union Gens de Metier - Milano,"3,5-4/5",,"al naso frutti e spezie ben più evolute ed eleganti,"," al palato molto più equilibrio con tannino più morbido ed elegante, ottima freschezza",,,,
1350,1047,14/08/2024,Chateau Giscours,"3,5/5",,,,"Secondo vino ma di ottima qualità. Vuoi l'annata, vuoi il terroir che si è sviluppato in questo Chateau, la Sirene 2015 è un ottimo vino, delicato e coinvolgente.",,,
1351,1048,10/04/2023,casa Zio Angelo,4/5,Vista: rosso rubino verso il gramato,"* Olfatto: frutta rossa, (inizio di confettura?), spezia, cioccolato fondente, spezia","* Palato: fresco dal tannino vellutato ed equilibrato, bevibilita più che buona, richiama la frutta altri sentori presenti al naso. Forse esile ma bicchiere non qualitativo e viaggio tra Navacchio e Pontedera?","* Giudizio Generale: ottimo Bordeaux, meglio naso che bocca, percepito esile, non lungo, nel complesso più che buono",,,
1352,1048,15/08/2023,Carezza Festa Pompieri,4/5,"Colore: rosso rubino carico, granato porpora","Olfatto: si apre con espressivi cassis, mora e ribes rosso con tocchi di petto di cedro, rose e mina di matita.","Palato: Corpo da medio a pieno con un buon nucleo di frutta muscolosa e corposo, tannini ben presenti ma ormai non più ruvidi, ottima persistenza e chiude lungo","Giudizio generale: veramente buono, da accompagnare a piatti di carne rossa ma anche formaggi stagionati.",,,
1353,1048,14/08/2024,Chateau Giscours,4/5,,Al naso frutto rosso scuro e speziatura.," Fresco al palato, tannino rotondo e vellutato, quasi morbido, legno ben assorbito. Un vino equilibrato, piacevole, espressivo, godibile.",Pronto! Di ottima struttura e complessità. ,,,
1354,1048,24/11/2024,Casa Mamma,4/5,Vista: rosso porpora,"Naso: complesso dalla frutta rossa scura all’erbaceo ormai solo accennato, alla liquirizia e vaniglia ma con toni delicati, credo che ancora qualche anno gli darà ulteriore profondità","Bocca: fresco, ottima struttura e persistenza, tannino in fase di arrotondamento ma ancora toni di richiamo all’acerbo, ottima bevibilità ma ancora anni davanti e il meglio lo darà fra 2/3 almeno",Considerazioni: ottima bottiglia ma ancora con qualche anno per raggiungere il suo picco espressivo,,,
1355,1049,14/08/2024,Chateau Giscours,"3,5-4/5",,,,"Vino di assai buona potenzialità, necessita ancora di tempo, almeno 1/2 anni, per la sua struttura ancora un pò acerba, legnosetta nel tannino e non ancora equlibrata negli aromi.",,,
1356,1050,13/08/2024,Brasserie Bordelaise - Bordeaux,"3,5/5",Vista: rosso rubino carico,"Naso: frutta rossa e scura, balsamico, spezia di pepe","Bocca: fresco, di buona struttura, persistenza e beva","Considerazioni: ottima da tavola, accompagna anche piatti molto strutturati",,,
1357,1051,03/04/2022,,3/5,,,,,,,
1358,1052,15/08/2024,Vinimarché - Bordeaux,3/5,Vista: rosso porpora,"Naso: frutta rossa, erbaceo vegetale con peperone verde, speziato, note terziarie di caffe, affumicato, cuoio, cioccolato","Bocca: buona struttura e persistenza, equilibrato, tannino strutturato ma arrotondato, bevibilità buona ma non straordinaria","Considerazioni: un Saint Emilion di buona fattura, blend dei 3 vitigni principali, non mi ha trasmesso identità ed emozioni",,,
1359,1053,17/08/2024,La Cornice - Arcachon,4/5,Vista: giallo ambrato,"Naso: ricco e complesso, frutta disidratata, frutta secca, fiori gialli maturi, spezzature di zafferano e zenzero, miele e creme","Bocca: fresco e leggermente sapido, di ottima struttura e persistenza","Considerazioni: il bicchiere, difficile definirlo calice, non consentiva una buona degustazione ma comunque un ottimo Sauternes, di grande fattura e qualità, con sentori evolutivi evidenti ma equilibrati: un vino espressivo ma che voglio degustare nuovamente, data anche la storia dello Chateau",,,
1360,1054,16/08/2024,Chateau d'Yquem - Sauternes,5/5,,,,"Esperienza sensoriale meravigliosa!!! Vista, udito, olfatto, gusto e tatto, tutti i sensi vengono stimolati e coinvolti da questo vino che offre sensazioni e percezioni uniche. Una degustazione da affrontare con profondo rispetto ma aperta a cogliere ogni regalo che questo nettare è pronto ad offrire",,,
1361,1055,16/08/2024,Chateau d'Yquem - Sauternes,"4,5-5/5",,,,"Perfetto!!! E' il Sauternes che desideri, che vorresti sempre godere. Guardarlo gia nella bottiglie e poi nel calice, ascoltarlo mentre lo versi è gia solo questo un grande piacere, ma quando ne percepisi i profumi e ne gusti i sapori e gli aromi è piacere e godimento al massimo livello. Complessamente completo",,,
1362,1056,16/08/2024,Chateau d'Yquem - Sauternes,"4-4,5/5",,,,"Giovane e fragrante ma già vibrante e ricco di profumi e aromi che caratterizzano la complessità olfattiva e gustativa. Pur figlio di un millesimo non eccezionale, il sovoir fair di questo Chateau ha comunque realizzato un grande Sauternes",,,
1363,1057,26/11/2022,Arnolfo,"2,5/5",,,,,,,
1364,1058,16/08/2024,La Chapelle - Chateau Guiraud - Sauternes,4/5,Vista: giallo dorato,"Naso: complessità delicata di aromi da frutta tropicale matura, floreale, frutta disidratata","Bocca: bella freschezza e sapidità, gusto delicato, ottima struttura e durata, bella bevibilità","Considerazioni: ottimo da aperitivo ma lo berrei sempre, un Sauternes che non ti aspetti (moderno?)",,,
1365,1059,16/08/2024,La Chapelle - Chateau Guiraud - Sauternes,"4-4,5/5",Vista: giallo darato carico,"Naso: grande e profonda complessità, un Sauternes di ottima qualità, dalla frutta candita, alla frutta disidratata, frutta tropicale, dalla frutta secca ai fiori essiccati e freschi ma molto maturi, speziatura di zafferano ma anche di zenzero candito, frutta secca, mieli di vario tipo","Bocca: fresco e sapido si contrappone alla dolcezza, di grande struttura e lunghissimo","Considerazioni: molto valido, da pasto e può accompagnare bene la tavola e da meditazione,",,,
1366,1060,19/09/2023, Erba Luigia - Pisa,"2,5/5",,,,,,,
1367,1061,16/09/2022,casa,4/5,,,,,,,
1368,1062,25/09/2024,Innocenti Evasioni - Winrtip,"3,5-4/5",Vista: giallo antico molto evoluto,"Naso: frutta candita, frutta secca, miele di acacia e castagno","Bocca: fresco, ottima struttura e persistenza",Considerazioni: Molto evoluto ma ancora godibile,,,
1369,1063,20/01/2024, Casa,"4,5/5",,,,,,,
1370,1064,25/05/2022,Champagne Society,3/5,,,,,,,
1371,1065,18/12/2024,Nicola Gatta,"4-4,5/5",,,,"non si possono fare paragoni ma è indubbiamente un ottimo pinot Noir, solo il rapporto qualità/prezzo può uscirne male",,,
1372,1066,30/01/2025,Champagne Society - Oasy - Milano,"3-3,5/5",Vista: paglierino,"Naso: agrume, frutta bianca","Bocca: fresco e sapido, caldo (troppo, lo sbilancia), agrume, buona struttura e persistenza",Considerazioni: buono ma non mi esalta,,,
1373,1067,30/01/2025,Champagne Society - Oasy - Milano,"3,5/5",Vista: dorato con riflessi rossi,"Naso: agrume, fruttato bianco e giallo","Bocca: fresco, sapido, fresco, agrumato, buona struttura e persistenza",Considerazioni: buono ma non lo comprerei,,,
1374,1068,30/01/2025,Champagne Society - Oasy - Milano,"3,5/5",Vista: rosa carmineo,"Naso: frutta rossa fresca, buccia d’arancio, spezia","Bocca: fresco, sapido, minerale, buona struttura e persistenza",Considerazioni: buona ma non mi esalta,,,
1375,1069,30/01/2025,Champagne Society - Oasy - Milano,nc,Vista: rosso rubino,Naso: cassetto!,,,,,
1376,1070,18/05/2023,Tour Champagne Society,"3,5/5",Colore: giallo paglierino,"Olfatto: pera williams, agrume, la sua firma stilistica data da ossidazione positiva, poi arriva crema chantilly","Palato: freschissimo e persistente, salinità in equilibrio",Giudizio Generale: pur bottiglia aperta da quasi un mese un ottimo Chardonnay fermo.,,,
1377,1071,08/09/2023,Henri Giroud - Champagne Society,4/5,Vista: oro molto profondo,,,"Considerazioni: mosto fortificato tra i 26 e 29 gradi, ideale con dolci e cioccolata. Da molti considerato il Ratafia migliore sul mercato",,,
1378,1072,19/05/2023,Tour Champagne Society,2/5,Colore: rosso rubino,Olfatto: frutta rossa,Palato: fresco e stringente,Giudizio: non mi coinvolge,,,
1379,1073,09/02/2023,Champagne Society,1/5,,,,,,,
1380,1074,06/09/2023,Aux Crieurs de Vin - Champagne Society,2/5,Vista: rosso rubino,"Naso: frutta rossa, ciliegia, note di erbaceo e cuoio",Bocca: fresco,Considerazioni: Pinot è Pinot ma non mi coinvolge,,,
1381,1075,20/05/2023,Tour Champagne Society,2/5,,,,Il suo Coteaux champenoise buono ma non è il mio vino,,,
1382,1076,12/11/2024,Bar Paradiso - Milano,"4-4,5/5",Vista: giallo paglierino,"Naso: parte in riduzione, poi floreale e salvia, agrume e frutta bianca poi frutta secca e miele, poi croccante","Bocca: fresco ma soprattutto sapido magnifico, grande beva, buona struttura e persistenza","Considerazioni: bella ma complessa, prima volta ma non sarà l’ultima, identitario",,,
1383,1077,06/05/2025,Altrimenti - Winetip,"4,5/5",Paglierino con note dorate,"Spezia, floreale maturo, Burroso, crema, vaniglia, frutta bianca con note mature, mineralita, Esce progressivamente l’agrume","Fresco, rotondo, nota fresca, spalla acida buona ma non pazzesca però esce piano piano, bella struttura e persistenza","Giudizio Complessivo: grande fattura. Si presenta progressivamente, continuando ad offrire sempre più di sé. Dopo ore ne calice è ancora in grande forma, molto più interessante che al primo naso",,,
1384,1078,18/12/2024,Nicola Gatta,4/5,,,,"Prima bevuta, da riprovare, contesto di assaggio non ottimale",,,
1385,1079,13/02/2025,Remedy,"3,5/5",,,,,,,
1386,1080,06/05/2025,Altrimenti - Winetip,"3,5-4/5",Rossetto chiarello non filtrato ma brillante,"Frutta rossa in marmellata, Spezia, dalla fragola alla ciliegia","Fragrante e croccante, divertente, speziato, aromi fruttati, buona spalla acida, con la presenza in calice prende forza anche eccessiva, buona persistenza",,,,
1387,1081,06/05/2025,Altrimenti - Winetip,"4-4,5/5",Rubino chiaro non filtrato,"Parte chiuso, bruttato, poi Solfuro, spezia, Si apre e la spezia esce sempre più, arriva nota di frutta rossa, nota di pietra focaia. Dopo tanta ossigenazione esce grande, bella frutta e spezia","Fresco, speziato, dritto, spalla acida, erosi di liquirizia, tabacco e cioccolato, ottima struttura e persistenza","Giudizio complessivo: primo naso da lavandino ma subito percepisci che c’è ben altro e se gli dai fiducia arriva un ottimo vino, identitario, espressivo, che ha molto da raccontare. Comunque voglio riberlo per capire",,,
1388,1082,06/05/2025,Altrimenti - Winetip,4/5,Ambrato,"Incenso, Frutta secca candita, miele, Si arricchisce di note di spezia,","Franco, spezia, aromi di frutta secca, pesca candita e fico candito, miele, acqua di fiori, bella spalla acida ma equilibrata da leggera nota sapida","Bello averlo bevuto ma non è il mio passito, non ci trovo coinvolgimento",,,
1389,1083,06/05/2025,Altrimenti - Winetip,"4,5/5",Paglierino leggerissimo,"Pietra focaia, Affumicato. Floreale, minerale, Dopo ore nel calice raggiunge la sua massima complessità, grande","Fresco, sapido, minerale, dritto, nota acida equilibrata, scalpitante, agrume limone, croccante, ottima struttura e grande persistenza","Giudizio complessivo: quello che mi aspetto da un bianco della Jura, pur non avendola mai bevuta.",,,
1390,1084,18/12/2024,Nicola Gatta,4/5,,,,Bottiglia oramai in grande calo ma si percepisce ancora quello che fu. Da riprovare in anate più recenti,,,
1391,1085,18/12/2024,Nicola Gatta,4/5,,,,Prima volta ma da ribere asap,,,
1392,1086,20/06/2024,uzu - Milano (offerta da Claudio Costa),3/5,Vista: giallo paglierino acceso,"Naso: frutta bianca e gialla, pietra focaia","Bocca: fresco e sapido, minerale, buona la struttura e la persistenza, punta frizzantina iniziale (difetto o tipico?)",Considerazioni: prima Jura.,,,
1393,1087,12/11/2024,Bar Paradiso - Milano,"3-3,5/5",,,,,,,
1394,1088,02/02/2025,Casa,"4,5/5",Vista: rosso porpora con toni scarichi,"Naso: bellissima frutta scura fresca, speziatura, balsamico, timo","Bocca: fresco, leggera sapidità, gusto di frutta scura, ottima struttura e persistenza, tannino delicato ed elegantissimo","Considerazioni: un grande vino, da eleggere a vino di casa, nei prossimi anni sarà ancora migliore.",,,
1395,1089,01/11/2024,Al Boschetto - Champagne Society,3/5,Vista: rosso porpora,"Naso: frutta rossa scura, spezia, erbaceo, peperone","Bocca: fresco, caldo alcolico, tannino morbido, buona struttura e persistenza",Considerazioni: buono ma da riflettere e ribere,,,
1396,1090,26/04/2024,Papaveri e Papere - San Miniato,"3,5/5",Vista: giallo paglierino,"Naso: ricco e complesso, vino muffato del sud ovest della Francia pirenaica, ricco di frutta, mele cotogne, albicocche, candita, agrume, miele, creme, frutta esotica matura, ananas, fiori bianchi e gialli maturi, incenso, ricorda Sauternes ma con una nota di profumi agrumati che lo porta altrove",Bocca: fresca che rende bevibile e godibile,"Considerazioni: interessante, giovane, da approfondire come vino/produttore/territorio.",,,
1397,1091,25/09/2024,innocenti Evasioni - Winetip,"1,5/5",Vista: giallo paglierino,"Naso: agrume, frutta bianca e fiori","Bocca: fresco, piatto",,,,
1398,1092,25/09/2024,Innocenti Evasioni - WineTip,"2,5-3/5",Vista: giallo paglierino,"Naso: floreale, minerale","Bocca: fresco e leggermente sapido, struttura e persistenza buona, caldo alcolico","Considerazioni: gastronomico, prima volta",,,
1399,1093,23/04/2024,Ravello - Milano,"2,5/5",Vista: rosso rubino scuro,"Naso: spezia, frutta rossa","Bocca: fresco e sapido, gusto amaricante/amarognolo sul finale","Considerazioni: vino semplice, da pasto",,,
1400,1094,13/02/2025,Remedy,"3,5/5",Vista: rosso rubino compatto,Naso: sentori affumicati e di buccia d’arancio oltre a note fruttate fresche,"Bocca: cremoso, profondo con un finale minerale.",,,,
1401,1095,18/12/2024,Nicola Gatta,"3,5/5",,,,"Prima volta di territorio, di produttore e di etichetta. Sicuramente da riprovare",,,
1402,1096,21/06/2024, casa,"3-3,5/5",,Naso: note fruttate e floreali labili a causa del calice ma presenti e di qualità,"Bocca: di corpo e persistente, retrogusto di mandorla, bevibilità buona, calore alcolico","Considerazioni: bevuto in contesto inadeguato con calici orrendi ma comunque percepita qualità del vino, buono ma non il mio vino",,,
1403,1097,01/12/2022,Anima Milano (Google),"2,5/5",,,,,,,
1404,1098,22/05/2024,Winetip,?/5,Vista: giallo dorato,Naso: idrocarburo (marcatore timorasso),"Bocca: fresco e sapido, minerale, di struttura","Considerazioni: timorasso 100%. Primo incontro con il timorasso e qui tutta la mia ignoranza e difficoltà ad affrontare un vino nuovo si presentano. Nessuno emozione, nessuna voglia di riberlo, non il mio vino. Ma neppure la volontà di giudicarlo. Vino comunque fatto bene, artigianale",,,
